idx,age-bin,employment-type,education-num,occupation,race,sex,weekly-hours-bin,compensation
0,4,0,12,0,4,1,2,0
1,7,2,12,2,4,1,0,0
2,4,1,8,4,4,1,2,0
3,7,1,6,4,2,1,2,0
4,2,1,12,8,2,0,2,0
5,4,1,13,2,4,0,2,0
6,7,1,4,6,2,0,0,0
7,7,2,8,2,4,1,3,1
8,3,1,13,8,4,0,4,1
9,5,1,12,2,4,1,2,1
10,4,1,9,2,2,1,7,1
11,3,0,12,8,1,1,2,1
12,1,1,12,0,4,0,1,0
13,3,1,11,10,2,1,4,0
14,5,1,10,1,1,1,2,1
15,3,1,3,12,0,1,3,0
16,2,2,8,3,4,1,2,0
17,3,1,8,5,4,1,2,0
18,4,1,6,10,4,1,4,0
19,5,2,13,2,4,0,3,1
20,5,1,15,8,4,1,5,1
21,8,1,8,6,2,0,0,0
22,3,0,4,3,2,1,2,0
23,5,1,6,12,4,1,2,0
24,8,1,8,11,4,0,2,0
25,8,0,12,11,4,1,2,1
26,0,1,8,1,4,1,2,0
27,4,1,8,2,4,1,7,0
28,7,1,8,1,4,1,2,0
29,1,0,11,9,4,1,5,0
30,0,1,9,10,2,1,3,0
31,6,1,12,2,4,1,2,0
32,3,0,9,0,4,1,2,0
33,1,0,9,6,2,1,0,0
34,7,1,6,5,4,1,2,0
35,1,1,9,5,4,1,2,0
36,0,1,8,0,4,0,1,0
37,3,1,9,10,4,1,2,1
38,7,2,11,8,4,1,2,0
39,3,1,4,5,4,1,3,0
40,7,2,12,8,4,1,2,0
41,1,1,12,11,4,1,4,0
42,7,1,8,0,4,0,2,0
43,2,1,8,4,4,1,2,0
44,8,0,12,8,2,1,2,1
45,7,1,8,5,4,1,2,0
46,6,1,13,2,4,0,2,0
47,5,0,10,1,4,1,2,0
48,3,1,10,8,4,1,3,0
49,2,1,9,2,3,0,2,0
50,0,1,8,6,4,0,1,0
51,6,1,14,8,4,0,5,1
52,7,0,12,2,4,1,5,1
53,6,2,8,2,4,1,5,0
54,5,1,9,11,4,1,2,1
55,6,1,2,5,4,1,2,0
56,3,1,10,6,4,1,2,0
57,5,1,8,0,4,1,4,0
58,3,1,8,5,4,1,2,0
59,3,1,12,10,4,1,2,0
60,7,1,8,12,4,1,2,0
61,5,1,15,8,4,1,3,1
62,3,1,9,11,4,1,5,0
63,4,1,8,1,4,1,2,0
64,2,1,9,0,4,0,2,0
65,7,1,8,0,4,0,2,1
66,7,2,9,2,4,1,4,1
67,0,1,9,8,4,1,1,0
68,3,1,12,10,2,0,2,0
69,3,2,12,10,4,1,6,1
70,1,1,9,5,4,1,2,0
71,10,1,9,8,4,1,0,0
72,2,1,8,6,4,1,2,0
73,5,1,11,0,4,1,2,0
74,0,1,6,6,4,0,1,0
75,3,0,3,3,4,1,2,0
76,0,1,8,10,4,1,1,0
77,7,1,12,6,4,1,2,0
78,6,1,8,6,4,0,2,0
79,8,1,8,10,4,1,4,0
80,6,1,8,1,4,0,2,1
81,7,1,8,10,4,0,2,0
82,7,0,8,9,4,1,2,1
83,3,1,13,8,4,1,4,0
84,3,1,4,10,4,1,2,0
85,5,0,15,8,4,0,4,1
86,8,1,10,8,4,1,2,0
87,4,1,9,1,4,0,2,0
88,2,1,9,5,2,0,1,0
89,3,1,8,10,1,0,2,0
90,3,0,12,9,4,1,2,1
91,3,0,9,4,4,1,4,0
92,7,2,15,8,4,1,5,1
93,4,1,9,10,4,1,4,1
94,7,1,11,2,4,0,2,0
95,3,0,8,6,2,1,2,0
96,10,1,13,2,4,1,2,1
97,6,1,12,2,4,1,5,1
98,6,2,13,8,4,0,4,0
99,0,1,9,11,4,0,2,0
100,3,1,8,1,4,1,2,0
101,3,2,8,1,4,1,2,1
102,3,1,6,4,4,1,2,0
103,3,0,8,0,4,0,2,0
104,5,1,8,4,4,1,2,0
105,1,1,12,10,4,1,2,0
106,4,1,14,8,4,1,2,1
